Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2010М01,Површина ( во m2 ),11 Станови во станбени објекти (згради),17601
2010М01,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,5844
2010М01,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,11757
2010М01,Површина ( во m2 ),12 Нестанбени згради,7143
2010М01,Површина ( во m2 ),122 Деловни згради,441
2010М01,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,405
2010М01,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,29
2010М01,Површина ( во m2 ),125 Индустриски згради и складишта,3980
2010М01,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",985
2010М01,Површина ( во m2 ),127 Други нестанбени згради,1303
2010М02,Површина ( во m2 ),11 Станови во станбени објекти (згради),26531
2010М02,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8418
2010М02,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,18113
2010М02,Површина ( во m2 ),12 Нестанбени згради,12851
2010М02,Површина ( во m2 ),121 Хотели и слични згради,414
2010М02,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,3123
2010М02,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,70
2010М02,Површина ( во m2 ),125 Индустриски згради и складишта,4811
2010М02,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",190
2010М02,Површина ( во m2 ),127 Други нестанбени згради,4243
2010М03,Површина ( во m2 ),11 Станови во станбени објекти (згради),24566
2010М03,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10268
2010М03,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,14298
2010М03,Површина ( во m2 ),12 Нестанбени згради,30382
2010М03,Површина ( во m2 ),121 Хотели и слични згради,456
2010М03,Површина ( во m2 ),122 Деловни згради,12241
2010М03,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,9303
2010М03,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,18
2010М03,Површина ( во m2 ),125 Индустриски згради и складишта,4544
2010М03,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",861
2010М03,Површина ( во m2 ),127 Други нестанбени згради,2959
2010М04,Површина ( во m2 ),11 Станови во станбени објекти (згради),47905
2010М04,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,9978
2010М04,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,37927
2010М04,Површина ( во m2 ),12 Нестанбени згради,11176
2010М04,Површина ( во m2 ),121 Хотели и слични згради,400
2010М04,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4461
2010М04,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,87
2010М04,Површина ( во m2 ),125 Индустриски згради и складишта,4488
2010М04,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",774
2010М04,Површина ( во m2 ),127 Други нестанбени згради,966
2010М05,Површина ( во m2 ),11 Станови во станбени објекти (згради),32073
2010М05,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,9407
2010М05,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,22666
2010М05,Површина ( во m2 ),12 Нестанбени згради,9206
2010М05,Површина ( во m2 ),122 Деловни згради,1446
2010М05,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,979
